study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
piano,,0,0,0,4,,,,,10.658905376709981,10.658905376709981,1.6822916666666667,1.403083084978789,,,,,,,,,,,,,,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
book,,0,1,1,2,,,,,12.074698746517925,12.074698746517925,4.40625,0.7914992852283831,,,,,,,,,,,,,,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
vase,,0,2,2,0,,,,,12.892298941979334,12.892298941979334,1.8697916666666667,0.9715478592283944,,,,,,,,,,,,,,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
cushion,,0,3,3,3,,,,,13.89238866085816,13.89238866085816,4.338541666666667,0.6375400341526074,,,,,,,,,,,,,,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
tiger,,0,4,4,1,,,,,14.558460622682105,14.558460622682105,1.75,0.5243803603721062,,,,,,,,,,,,,,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,_p_a_d_,,,,,0,0,0,7,,,,,15.108328759105007,15.108328759105007,15.108328759105007,0.013194965413276805,,[],[],[],[],[],[],[],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,t_g_r,,,,,0,1,1,1,,,,,25.11060583086646,25.11060583086646,25.11060583086646,0.015106540340639185,tig,[],[],[],[],[],[],[],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,_ea_O_,,,,,0,2,2,5,,,,,35.109776510604206,35.109776510604206,35.109776510604206,0.01561505767494964,,[],[],[],[],[],[],[],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,c_m_r_,,,,,0,3,3,6,,,,,45.11115076545775,45.11115076545775,45.11115076545775,0.015532291181443725,,[],[],[],[],[],[],[],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,_ia_n_,,,,,0,4,4,4,,,,,55.10943120879483,55.10943120879483,55.10943120879483,0.014429841492074047,"piano
",[-0.15364583333333334],[-0.2890625],[1],[0],[0],[8.629786469068677],['text_3'],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,_oo_,,,,,0,5,5,2,,,,,63.74301963949574,63.74301963949574,63.74301963949574,0.0036910545313730836,,[],[],[],[],[],[],[],73.74311200690227,73.74311200690227,73.74311200690227,9.998377776733378,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,c_s_h_o_n,,,,,0,6,6,3,,,,,73.74311200690227,73.74311200690227,73.74311200690227,0.0029305959919838642,book,[-0.06380208333333333],[-0.2864583333333333],[1],[0],[0],[1.662506712362756],['text_3'],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,o_a_n_e,,,,,0,7,7,9,,,,,75.40998084452303,75.40998084452303,75.40998084452303,0.0036910545313730836,orange,[-0.07291666666666667],[-0.2552083333333333],[1],[0],[0],[9.612211500834292],[],85.4121728323289,85.4121728323289,85.4121728323289,9.998725064938753,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,_o_s_,,,,,0,8,8,8,,,,,85.4121728323289,85.4121728323289,85.4121728323289,0.0042548598830762785,,[],[],[],[],[],[],[],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
,_a_e,,,,,0,9,9,0,,,,,95.42686388487391,95.42686388487391,95.42686388487391,0.019575268841890647,,[],[],[],[],[],[],[],,,,,962099,001,2022-10-14_11h47.09.018,tutorial 5,2022.2.2,60.04679622763219,
